"Estacion","Fecha inicial","Fecha final","HAire2"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-28","","77.29166667"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-27","","76.625"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-26","","78.375"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-25","","74.125"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-24","","80.33333333"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-23","","75.54166667"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-22","","77.70833333"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-21","","77.66666667"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-20","","69.25"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-19","","71.54166667"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-18","","73.5"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-17","","81.70833333"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-16","","76.54166667"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-15","","74.5"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-14","","78.45833333"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-13","","74.0"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-12","","76.20833333"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-11","","79.875"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-10","","84.58333333"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-09","","77.20833333"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-08","","85.5"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-07","","76.29166667"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-06","","82.08333333"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-05","","84.16666667"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-04","","81.375"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-03","","87.5"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-02","","89.83333333"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-01","","80.20833333"
