"Estacion","Fecha inicial","Fecha final","PM2.5"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-17","","16.125"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-16","","10.25"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-15","","8.0952381"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-14","","12.66666667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-13","","9.0"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-12","","8.75"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-11","","16.625"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-10","","16.15789474"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-09","","12.33333333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-08","","12.04166667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-07","","16.25"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-06","","9.25"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-05","","11.375"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-04","","10.41666667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-03","","8.54166667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-02","","14.25"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-12-01","","17.83333333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-30","","13.125"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-29","","8.83333333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-28","","13.08333333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-27","","13.875"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-26","","11.125"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-25","","14.09090909"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-24","","19.33333333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-23","","16.0"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-22","","12.875"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-21","","18.125"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-20","","16.29166667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-19","","12.625"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-18","","15.29166667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-17","","20.54166667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-16","","16.04166667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-15","","17.16666667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-14","","13.875"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-13","","19.20833333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-12","","21.41666667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-11","","20.58333333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-10","","20.625"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-09","","21.95833333"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-08","","21.125"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-07","","22.375"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-06","","19.79166667"
"GIRARDOTA - S.O.S ABURRÁ NORTE","2020-11-05","","21.5"
